Setting:1_0.99_128_0.001_0.2, Correct: 0, KNN: None, Path: None
Setting:100_0.99_256_0.0001_0.1, Correct: 9, KNN: 0.25, Path: 10.89
Setting:10_0.99_128_0.0001_0.1, Correct: 0, KNN: None, Path: None
Setting:10_0.99_256_0.0001_0.05, Correct: 1, KNN: 0.43, Path: 18.00
Setting:100_0.99_128_0.0001_0.2, Correct: 34, KNN: 0.41, Path: 17.53
Setting:10_0.99_256_0.001_0.1, Correct: 15, KNN: 0.30, Path: 12.87
Setting:10_0.99_256_0.0001_0.2, Correct: 0, KNN: None, Path: None
Setting:100_0.99_128_1e-05_0.05, Correct: 2, KNN: 0.23, Path: 10.00
Setting:10_0.99_256_1e-05_0.05, Correct: 0, KNN: None, Path: None
Setting:1_0.99_256_1e-05_0.05, Correct: 12, KNN: 0.55, Path: 22.92
Setting:10_0.99_256_0.001_0.2, Correct: 0, KNN: None, Path: None
Setting:100_0.99_128_0.0001_0.1, Correct: 0, KNN: None, Path: None
Setting:100_0.99_256_1e-05_0.05, Correct: 0, KNN: None, Path: None
Setting:10_0.99_128_1e-05_0.1, Correct: 0, KNN: None, Path: None
Setting:100_0.99_256_1e-05_0.1, Correct: 22, KNN: 0.35, Path: 14.86
Setting:100_0.99_256_0.0001_0.2, Correct: 0, KNN: None, Path: None
Setting:100_0.99_128_1e-05_0.1, Correct: 0, KNN: None, Path: None
