setting,validity,proximity_cont,proximity_cat,sparsity,manifold,causality,time
01_0.99_128_0.0001_0.2,94.55252918287938,0.06665686850872037,0.06457739791073122,1.1481481481481481,0.7471272894258113,1.0,19.209627389907837
01_0.99_256_0.0001_0.05,93.3852140077821,0.11032024442275011,0.05993589743589743,1.2208333333333334,0.7229247138769672,1.0,19.444634675979614
01_0.99_128_0.001_0.05,96.10894941634241,0.13988243124018215,0.0632201806290875,1.368421052631579,0.7270889650310667,1.0,19.352197408676147
01_0.99_128_0.0001_0.1,94.94163424124514,0.05871389539422326,0.07093316519546025,1.1680327868852458,0.7816027334790192,1.0,19.70723843574524
01_0.99_128_0.001_0.1,94.16342412451363,0.09023600648678305,0.061029879211697384,1.1446280991735538,0.7041923806457558,1.0,19.648797035217285
01_0.99_256_0.0001_0.2,92.99610894941634,0.08816345722246353,0.07627936916639844,1.2510460251046025,0.8430296851069894,1.0,21.214465379714966
01_0.99_128_0.0001_0.05,92.99610894941634,0.11101250782334647,0.061795944641132916,1.217573221757322,0.7612970711297073,1.0,20.954845905303955
10_0.99_256_0.0001_0.2,43.190661478599225,0.2836979836979837,0.0,1.0,0.35045045045045065,1.0,32.34382963180542
10_0.99_256_0.001_0.2,34.24124513618677,0.0,0.07867132867132866,1.0227272727272727,0.6312500000000001,1.0,33.42912197113037
10_0.99_256_0.0001_0.05,40.46692607003891,0.0,0.0769230769230769,1.0,0.6245192307692309,1.0,37.29729676246643
10_0.99_128_0.001_0.05,32.295719844357976,0.0007745266781411359,0.07784986098239108,1.0240963855421688,0.7698795180722893,1.0,38.70530414581299
0_0.99_128_0.001_0.1,94.55252918287938,0.09447750597375165,0.060145615701171246,1.1728395061728396,0.702323276198654,1.0,29.909422397613525
0_0.99_256_0.001_0.2,95.71984435797665,0.11258427716883745,0.057848655409631015,1.2235772357723578,0.6860205974344744,1.0,32.16394352912903
10_0.99_256_0.0001_0.1,32.68482490272373,0.10714285714285716,0.0,1.0,0.7500000000000003,1.0,42.11422657966614
10_0.99_128_0.001_0.1,19.844357976653697,0.02882314657070119,0.06787330316742082,1.0392156862745099,0.943137254901961,1.0,43.44917011260986
0_0.99_256_0.001_0.1,96.49805447470817,0.1368176259408165,0.06141439205955335,1.2701612903225807,0.7166354242577767,1.0,32.93560338020325
0_0.99_256_0.0001_0.1,94.55252918287938,0.1166315986353108,0.058562836340614106,1.1934156378600822,0.7424323743575337,1.0,34.33869743347168
0_0.99_128_0.001_0.2,94.94163424124514,0.09093861083400462,0.0674653215636822,1.2827868852459017,0.73081356218537,1.0,34.14749717712402
10_0.99_128_0.0001_0.05,21.011673151750973,0.01752323100842464,0.07977207977207976,1.0925925925925926,0.8416666666666669,1.0,44.53345203399658
